,func,args,kwargs,exec_time,res
15,calc_a_line_large,"(15,)",{},0.09284710884094238,"[-17.31096137 -63.38502521  40.3803654  ... -50.19439361 -27.34758969
 -55.08020773]"
16,calc_a_line_large,"(16,)",{},0.057525634765625,"[  46.64244486   80.00199319 -189.41175064 ...  -16.87958173   57.59217106
   56.36477897]"
17,calc_a_line_large,"(17,)",{},0.05247616767883301,"[75.94847872  7.80816175  0.73201619 ...  0.3073826  46.37237259
 22.86723689]"
18,calc_a_line_large,"(18,)",{},0.08008480072021484,"[  -8.62752073   46.14839363 -107.59681852 ...    6.53183642   31.04346109
  158.18214197]"
19,calc_a_line_large,"(19,)",{},0.07242822647094727,"[ 48.56950281 -16.49855017 -34.53783182 ...  58.07226234  37.0956242
  65.02988775]"
20,calc_a_line_large,"(20,)",{},0.06722807884216309,"[ 51.21218123 -40.97572982 -38.85179231 ...  57.03442355 -28.80539122
 -43.09432194]"
21,calc_a_line_large,"(21,)",{},0.08568787574768066,"[-118.84840808   67.02306481  -43.74205408 ...  123.7179188    75.86134282
   17.83925824]"
22,calc_a_line_large,"(22,)",{},0.12365341186523438,"[ -86.25084151  -86.62077112   39.90459161 ...  -27.35636993  110.25653064
 -103.26398795]"
23,calc_a_line_large,"(23,)",{},0.06243181228637695,"[ 80.71816709 181.79020389  16.41045492 ...  57.29711223  38.17325081
 -56.65544664]"
24,calc_a_line_large,"(24,)",{},0.09066224098205566,"[ 19.79116628  97.33223368 -46.83781709 ... -51.95065843 154.53393583
  -7.68223265]"
25,calc_a_line_large,"(25,)",{},0.07616138458251953,"[ 16.31055709 -17.75977314 -68.64289218 ... -32.68369243 160.5486712
 -88.32006117]"
26,calc_a_line_large,"(26,)",{},0.062067508697509766,"[-59.05138227  23.08639739 160.94956701 ...  24.54682795  68.68254962
  30.50616396]"
27,calc_a_line_large,"(27,)",{},0.06124758720397949,"[ -5.03671451   7.65866684   0.8913449  ... -30.14547568 -91.61627835
 -38.8232189 ]"
28,calc_a_line_large,"(28,)",{},0.06005597114562988,"[41.49998267 78.15404534 22.84578954 ... 35.69568135 51.24753072
 45.03659077]"
29,calc_a_line_large,"(29,)",{},0.059542179107666016,"[ -54.5595651   -22.38486558    4.95119726 ...   63.56375157  102.1508263
 -160.04415864]"
30,calc_a_line_large,"(30,)",{},0.1039738655090332,"[-113.99357773  -11.96063577    0.41391006 ...    6.51040718  -36.70953373
   30.69908544]"
31,calc_a_line_large,"(31,)",{},0.056971073150634766,"[-138.36359336    4.31755164  -38.09362333 ...   59.2797898    28.97958299
  -75.94729351]"
32,calc_a_line_large,"(32,)",{},0.0803995132446289,"[ -0.35376213 -21.07937129 -93.63854751 ...  68.71426604  42.69761777
  36.71052445]"
33,calc_a_line_large,"(33,)",{},0.06125950813293457,"[166.11478846  34.28750013  82.30227747 ...  42.23709846  83.83764689
  -8.86982631]"
34,calc_a_line_large,"(34,)",{},0.0624232292175293,"[ 22.07483158 -56.40241679  33.09338315 ...  32.84637098 -89.45844136
  34.4395236 ]"
35,calc_a_line_large,"(35,)",{},0.06503987312316895,"[-106.77163771  -19.58657451  128.22588662 ... -139.10156688   29.76145766
    9.09008785]"
36,calc_a_line_large,"(36,)",{},0.06164860725402832,"[-117.46031431   -1.72171649  147.77866823 ... -117.98792889   28.30505833
  -30.29884754]"
37,calc_a_line_large,"(37,)",{},0.0685262680053711,"[ 232.8272882   -43.46569272 -112.91881723 ...  -34.76289644   23.70605778
  120.00255567]"
38,calc_a_line_large,"(38,)",{},0.066925048828125,"[ 82.0028155  -62.60546898 -44.37487461 ... -79.44992647 -11.1642063
 -76.34272885]"
39,calc_a_line_large,"(39,)",{},0.07205510139465332,"[ 38.04952118 -30.29451748   2.09591839 ...  -2.3041981  -19.71303806
  -6.76374096]"
40,calc_a_line_large,"(40,)",{},0.08209657669067383,"[-165.83925176  117.47574752 -102.76407549 ...  -22.08143473  124.51576226
  -36.85065907]"
41,calc_a_line_large,"(41,)",{},0.05942869186401367,"[ -57.50902156  113.26276781   22.45983884 ... -130.50251872   80.9031748
  -74.71848156]"
42,calc_a_line_large,"(42,)",{},0.060577392578125,"[  6.94516301 181.06987497 -33.10645871 ...  89.70691535 133.42313112
  56.05648416]"
43,calc_a_line_large,"(43,)",{},0.08083701133728027,"[-30.95341919  56.54080049 -70.14290416 ...  25.94092544 -25.0923535
 -33.8619574 ]"
44,calc_a_line_large,"(44,)",{},0.057927846908569336,"[  50.56282356  -81.09558421  -42.62060405 ...  -39.06907681 -104.03093369
   73.89036555]"
45,calc_a_line_large,"(45,)",{},0.08730673789978027,"[-46.85607213  53.3455095  165.25438012 ... 110.59202321 -45.46445149
  -9.78360805]"
46,calc_a_line_large,"(46,)",{},0.09482383728027344,"[  24.17953966   81.83680625    5.52643938 ...  -45.24002456  -34.51127357
 -101.29001006]"
47,calc_a_line_large,"(47,)",{},0.06171536445617676,"[-32.89914443 -65.66826009  32.49566622 ...  -7.46361143 -52.88621579
 123.3975194 ]"
48,calc_a_line_large,"(48,)",{},0.062255859375,"[ -10.71077187   74.79839587  100.70896879 ...  -15.55684417 -142.09108648
  -36.81379753]"
49,calc_a_line_large,"(49,)",{},0.07561349868774414,"[ 10.30697006 -95.14745312  27.37722415 ...  14.86693297  19.68203803
  41.71242908]"
50,calc_a_line_large,"(50,)",{},0.06862473487854004,"[ -14.61377045 -198.75337362   34.37434176 ...  -92.80262652  -37.489184
    0.22242596]"
51,calc_a_line_large,"(51,)",{},0.06255674362182617,"[ -22.41641332   25.14503157   14.67420626 ...   33.85292167   55.32296645
 -155.0669798 ]"
52,calc_a_line_large,"(52,)",{},0.08618831634521484,"[-27.71275185  97.05356675  57.09926057 ...  77.30633755   3.22379869
 -48.70172225]"
